Pagina,Nome,Versao,Ano,Quilometragem,Cidade,Preco,Preco_Limpo,KM_Limpo,Ano_Modelo
4,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2022/2023,57.000 Km,Santo André (SP),R$ 138.900,138900,57000,2023
4,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2021/2022,44.333 Km,Carapicuíba (SP),R$ 130.000,130000,44333,2022
4,TOYOTA COROLLA,1.8 vvt-i hybrid flex altis p...,2025/2026,0 Km,Bragança Paulista (SP),R$ 202.320,202320,0,2026
4,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2025/2025,0 Km,Bragança Paulista (SP),R$ 253.490,253490,0,2025
4,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2023/2024,52.000 Km,Embu das Artes (SP),R$ 149.990,149990,52000,2024
4,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2022/2023,45.915 Km,Ribeirão Preto (SP),R$ 130.000,130000,45915,2023
4,TOYOTA COROLLA,1.8 gli upper 16v flex 4p automático,2019/2019,107.346 Km,Santo André (SP),R$ 98.790,98790,107346,2019
4,TOYOTA COROLLA,1.8 vvt-i hybrid flex altis premium cvt,2025/2025,22.912 Km,São Paulo (SP),R$ 184.890,184890,22912,2025
4,TOYOTA COROLLA,1.8 vvt-i hybrid flex altis premium cvt,2023/2023,68.522 Km,São Paulo (SP),R$ 151.990,151990,68522,2023
4,TOYOTA COROLLA,2.0 vvt-ie flex altis premium direct shift,2025/2025,1.558 Km,São Paulo (SP),R$ 275.000,275000,1558,2025
4,TOYOTA COROLLA,2.0 vvt-ie flex gli direct shift,2019/2020,79.000 Km,São José dos Campos (SP),R$ 116.900,116900,79000,2020
4,TOYOTA COROLLA,1.8 vvt-i hybrid flex altis premium cvt,2025/2026,0 Km,Bragança Paulista (SP),R$ 202.320,202320,0,2026
4,TOYOTA COROLLA,2.0 xei 16v flex 4p automático,2018/2019,116.220 Km,Diadema (SP),R$ 99.850,99850,116220,2019
4,TOYOTA COROLLA,2.0 xei 16v flex 4p automático,2017/2018,138.541 Km,Marília (SP),R$ 96.900,96900,138541,2018
4,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2022/2023,98.826 Km,Jundiaí (SP),R$ 124.990,124990,98826,2023
4,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2023/2024,88.000 Km,Jundiaí (SP),R$ 139.900,139900,88000,2024
4,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2022/2023,64.000 Km,Sorocaba (SP),R$ 127.900,127900,64000,2023
4,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2021/2022,88.000 Km,Campinas (SP),R$ 119.900,119900,88000,2022
4,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2022/2023,118.248 Km,Campinas (SP),R$ 117.990,117990,118248,2023
4,TOYOTA COROLLA,1.8 gli upper 16v flex 4p aut...,2016/2017,190.000 Km,São Paulo (SP),R$ 80.000,80000,190000,2017
4,TOYOTA COROLLA,1.8 gli upper 16v flex 4p automático,2016/2017,190.000 Km,São Paulo (SP),R$ 80.000,80000,190000,2017
4,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2021/2022,80.254 Km,São José do Rio Preto (SP),R$ 124.500,124500,80254,2022
5,TOYOTA COROLLA,1.8 vvt-i hybrid flex altis p...,2026/2026,0 Km,São Paulo (SP),R$ 193.800,193800,0,2026
5,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2019/2020,72.000 Km,Leme (SP),R$ 119.990,119990,72000,2020
5,TOYOTA COROLLA,2.0 xei 16v flex 4p automático,2011/2012,193.000 Km,Marília (SP),R$ 63.900,63900,193000,2012
5,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2021/2021,77.500 Km,Bauru (SP),R$ 121.990,121990,77500,2021
5,TOYOTA COROLLA,1.8 gli 16v flex 4p automático,2016/2017,135.880 Km,Boituva (SP),R$ 85.900,85900,135880,2017
5,TOYOTA COROLLA,2.0 xei 16v flex 4p automático,2018/2018,85.000 Km,Campinas (SP),R$ 99.890,99890,85000,2018
5,TOYOTA COROLLA,2.0 xei 16v flex 4p automático,2018/2019,149.000 Km,Vinhedo (SP),R$ 102.900,102900,149000,2019
5,TOYOTA COROLLA,2.0 vvt-ie flex altis direct ...,2021/2022,78.000 Km,Osasco (SP),R$ 191.700,191700,78000,2022
5,TOYOTA COROLLA,1.8 gli 16v flex 4p automático,2016/2017,105.900 Km,Campinas (SP),R$ 81.890,81890,105900,2017
5,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2021/2022,72.746 Km,Jundiaí (SP),R$ 129.900,129900,72746,2022
5,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2024/2024,6.067 Km,Campinas (SP),R$ 148.990,148990,6067,2024
5,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2021/2022,97.000 Km,Limeira (SP),R$ 145.000,145000,97000,2022
5,TOYOTA COROLLA,1.8 gli 16v flex 4p automático,2016/2017,132.000 Km,São Paulo (SP),R$ 81.000,81000,132000,2017
5,TOYOTA COROLLA,2.0 vvt-ie flex altis direct shift,2021/2022,78.000 Km,Osasco (SP),R$ 191.700,191700,78000,2022
5,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2024/2024,24.834 Km,São Paulo (SP),R$ 198.900,198900,24834,2024
5,TOYOTA COROLLA,1.8 vvt-i hybrid flex altis p...,2025/2025,18.565 Km,São Paulo (SP),R$ 184.800,184800,18565,2025
5,TOYOTA COROLLA,2.0 vvt-ie flex altis direct ...,2021/2022,66.758 Km,Americana (SP),R$ 137.000,137000,66758,2022
5,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2023/2023,69.699 Km,São Paulo (SP),R$ 134.990,134990,69699,2023
5,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2022/2023,60.339 Km,São Paulo (SP),R$ 135.990,135990,60339,2023
5,TOYOTA COROLLA,2.0 vvt-ie flex gli direct shift,2024/2024,63.206 Km,São Paulo (SP),R$ 125.900,125900,63206,2024
5,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2022/2023,41.022 Km,Guarulhos (SP),R$ 138.990,138990,41022,2023
5,TOYOTA COROLLA,2.0 vvt-ie flex gli direct shift,2024/2024,32.922 Km,São Paulo (SP),R$ 132.400,132400,32922,2024
5,TOYOTA COROLLA,2.0 vvt-ie flex gli direct shift,2024/2024,46.514 Km,São Paulo (SP),R$ 131.100,131100,46514,2024
5,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2021/2022,66.000 Km,São Paulo (SP),R$ 129.900,129900,66000,2022
5,TOYOTA COROLLA,2.0 vvt-ie flex gli direct shift,2024/2024,38.902 Km,São Paulo (SP),R$ 133.100,133100,38902,2024
5,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2024/2024,54.179 Km,São Paulo (SP),R$ 149.300,149300,54179,2024
5,TOYOTA COROLLA,1.8 vvt-i hybrid flex altis p...,2023/2023,75.000 Km,São Paulo (SP),R$ 149.900,149900,75000,2023
5,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2019/2020,78.000 Km,São Paulo (SP),R$ 129.900,129900,78000,2020
5,TOYOTA COROLLA,2.0 vvt-ie flex gli direct shift,2021/2022,36.000 Km,São Paulo (SP),R$ 119.900,119900,36000,2022
5,TOYOTA COROLLA,1.8 vvt-i hybrid flex altis p...,2023/2024,82.300 Km,Piracicaba (SP),R$ 168.990,168990,82300,2024
5,TOYOTA COROLLA,2.0 altis 16v flex 4p automático,2019/2019,99.161 Km,Mogi Mirim (SP),R$ 118.990,118990,99161,2019
5,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2020/2020,53.000 Km,Mogi Mirim (SP),R$ 125.990,125990,53000,2020
5,TOYOTA COROLLA,2.0 vvt-ie flex gli direct shift,2023/2023,54.727 Km,Santo André (SP),R$ 128.790,128790,54727,2023
5,TOYOTA COROLLA,1.8 vvt-i hybrid flex altis premium cvt,2026/2026,0 Km,São Paulo (SP),R$ 193.800,193800,0,2026
5,TOYOTA COROLLA,2.0 vvt-ie flex altis direct shift,2021/2022,66.758 Km,Americana (SP),R$ 137.000,137000,66758,2022
5,TOYOTA COROLLA,1.8 vvt-i hybrid flex altis premium cvt,2025/2025,18.565 Km,São Paulo (SP),R$ 184.800,184800,18565,2025
5,TOYOTA COROLLA,1.8 vvt-i hybrid flex altis premium cvt,2023/2023,75.000 Km,São Paulo (SP),R$ 149.900,149900,75000,2023
5,TOYOTA COROLLA,1.8 vvt-i hybrid flex altis premium cvt,2023/2024,82.300 Km,Piracicaba (SP),R$ 168.990,168990,82300,2024
5,TOYOTA COROLLA,2.0 xei 16v flex 4p automático,2011/2011,149.000 Km,Presidente Venceslau (SP),R$ 67.800,67800,149000,2011
5,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2024/2024,18.000 Km,São Caetano do Sul (SP),R$ 194.880,194880,18000,2024
5,TOYOTA COROLLA,2.0 xei 16v flex 4p automático,2015/2016,144.500 Km,São José do Rio Preto (SP),R$ 86.000,86000,144500,2016
5,TOYOTA COROLLA,2.0 xei 16v flex 4p automático,2018/2019,89.000 Km,Santos (SP),R$ 101.790,101790,89000,2019
5,TOYOTA COROLLA,1.8 gli 16v flex 4p automático,2011/2012,183.004 Km,São Paulo (SP),R$ 58.490,58490,183004,2012
5,TOYOTA COROLLA,2.0 vvt-ie flex gr-s direct s...,2021/2022,85.000 Km,Vinhedo (SP),R$ 129.000,129000,85000,2022
5,TOYOTA COROLLA,2.0 vvt-ie flex gr-s direct s...,2024/2024,38.000 Km,Cajamar (SP),R$ 157.900,157900,38000,2024
5,TOYOTA COROLLA,2.0 vvt-ie flex gr-s direct shift,2021/2022,85.000 Km,Vinhedo (SP),R$ 129.000,129000,85000,2022
5,TOYOTA COROLLA,2.0 vvt-ie flex gr-s direct shift,2024/2024,38.000 Km,Cajamar (SP),R$ 157.900,157900,38000,2024
5,TOYOTA COROLLA,2.0 vvt-ie flex gli direct shift,2022/2023,24.352 Km,São Paulo (SP),R$ 117.500,117500,24352,2023
5,TOYOTA COROLLA,2.0 vvt-ie flex gli direct shift,2024/2024,30.000 Km,São Paulo (SP),R$ 124.700,124700,30000,2024
5,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2024/2024,61.745 Km,São Bernardo do Campo (SP),R$ 139.990,139990,61745,2024
5,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2020/2021,113.000 Km,São José do Rio Preto (SP),R$ 112.800,112800,113000,2021
6,TOYOTA COROLLA,1.8 vvt-i hybrid flex gli cvt,2026/2026,0 Km,Taubaté (SP),R$ 126.780,126780,0,2026
6,TOYOTA COROLLA,1.8 vvt-i hybrid flex altis p...,2025/2026,0 Km,Jundiaí (SP),R$ 296.990,296990,0,2026
6,TOYOTA COROLLA,1.8 gli 16v flex 4p automático,2018/2018,133.050 Km,Mauá (SP),R$ 89.900,89900,133050,2018
6,TOYOTA COROLLA,1.8 vvt-i hybrid flex altis p...,2025/2026,0 Km,São Paulo (SP),R$ 201.990,201990,0,2026
6,TOYOTA COROLLA,1.8 vvt-i hybrid flex altis p...,2025/2026,0 Km,São Paulo (SP),R$ 204.320,204320,0,2026
6,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2025/2026,0 Km,São Paulo (SP),R$ 253.900,253900,0,2026
6,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2025/2025,0 Km,São Paulo (SP),R$ 259.000,259000,0,2025
6,TOYOTA COROLLA,2.0 vvt-ie flex gr-s direct s...,2023/2024,21.000 Km,Santos (SP),R$ 164.900,164900,21000,2024
6,TOYOTA COROLLA,2.0 xei 16v flex 4p automático,2019/2019,108.573 Km,Barueri (SP),R$ 108.900,108900,108573,2019
6,TOYOTA COROLLA,2.0 altis 16v flex 4p automático,2011/2012,156.000 Km,Suzano (SP),R$ 65.770,65770,156000,2012
6,TOYOTA COROLLA,1.8 gli 16v flex 4p automático,2015/2016,89.000 Km,São Paulo (SP),R$ 79.999,79999,89000,2016
6,TOYOTA COROLLA,2.0 xei 16v flex 4p automático,2011/2012,137.000 Km,São Paulo (SP),R$ 66.900,66900,137000,2012
6,TOYOTA COROLLA,2.0 vvt-ie flex gr-s direct shift,2023/2024,21.000 Km,Santos (SP),R$ 164.900,164900,21000,2024
6,TOYOTA COROLLA,2.0 vvt-ie flex gli direct shift,2023/2024,39.335 Km,Piedade (SP),R$ 128.900,128900,39335,2024
6,TOYOTA COROLLA,2.0 xei 16v flex 4p automático,2018/2019,106.000 Km,São Paulo (SP),R$ 105.900,105900,106000,2019
6,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2023/2023,63.925 Km,Caieiras (SP),R$ 135.900,135900,63925,2023
6,TOYOTA COROLLA,1.8 vvt-i hybrid flex altis p...,2023/2024,25.268 Km,São Paulo (SP),R$ 172.900,172900,25268,2024
6,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2021/2022,38.746 Km,São Paulo (SP),R$ 123.490,123490,38746,2022
6,TOYOTA COROLLA,1.8 vvt-i hybrid flex altis premium cvt,2025/2026,0 Km,Jundiaí (SP),R$ 296.990,296990,0,2026
6,TOYOTA COROLLA,2.0 vvt-ie flex gli direct shift,2022/2023,87.300 Km,São Paulo (SP),R$ 119.700,119700,87300,2023
6,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2021/2022,98.000 Km,São Paulo (SP),R$ 139.990,139990,98000,2022
6,TOYOTA COROLLA,2.0 altis 16v flex 4p automático,2018/2018,122.000 Km,Caieiras (SP),R$ 108.900,108900,122000,2018
6,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2024/2024,18.000 Km,São Paulo (SP),R$ 149.800,149800,18000,2024
6,TOYOTA COROLLA,2.0 vvt-ie flex gli direct shift,2024/2024,16.292 Km,São Paulo (SP),R$ 183.900,183900,16292,2024
6,TOYOTA COROLLA,2.0 vvt-ie flex gr-s direct s...,2021/2022,53.256 Km,Piracicaba (SP),R$ 129.990,129990,53256,2022
6,TOYOTA COROLLA,1.8 se-g 16v flex 4p automático,2009/2009,182.000 Km,Santo André (SP),R$ 59.888,59888,182000,2009
6,TOYOTA COROLLA,2.0 xei 16v flex 4p automático,2017/2018,119.602 Km,Santo André (SP),R$ 101.900,101900,119602,2018
6,TOYOTA COROLLA,2.0 vvt-ie flex gr-s direct shift,2021/2022,53.256 Km,Piracicaba (SP),R$ 129.990,129990,53256,2022
6,TOYOTA COROLLA,1.8 vvt-i hybrid flex altis premium cvt,2025/2026,0 Km,São Paulo (SP),R$ 201.990,201990,0,2026
6,TOYOTA COROLLA,1.8 vvt-i hybrid flex altis premium cvt,2025/2026,0 Km,São Paulo (SP),R$ 204.320,204320,0,2026
6,TOYOTA COROLLA,1.8 gli upper 16v flex 4p aut...,2018/2019,124.000 Km,Ribeirão Preto (SP),R$ 88.000,88000,124000,2019
6,TOYOTA COROLLA,1.8 vvt-i hybrid flex altis premium cvt,2023/2024,25.268 Km,São Paulo (SP),R$ 172.900,172900,25268,2024
6,TOYOTA COROLLA,1.8 gli upper 16v flex 4p automático,2018/2019,124.000 Km,Ribeirão Preto (SP),R$ 88.000,88000,124000,2019
6,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2022/2023,46.000 Km,São Caetano do Sul (SP),R$ 164.880,164880,46000,2023
6,TOYOTA COROLLA,1.8 vvt-i hybrid flex altis p...,2019/2020,97.000 Km,São Caetano do Sul (SP),R$ 149.880,149880,97000,2020
6,TOYOTA COROLLA,1.8 vvt-i hybrid flex altis p...,2025/2026,0 Km,São Paulo (SP),R$ 184.900,184900,0,2026
6,TOYOTA COROLLA,2.0 xei 16v flex 4p automático,2015/2016,135.000 Km,São Bernardo do Campo (SP),R$ 88.900,88900,135000,2016
6,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2024/2024,16.000 Km,São Bernardo do Campo (SP),R$ 145.990,145990,16000,2024
6,TOYOTA COROLLA,2.0 vvt-ie flex altis direct ...,2022/2023,62.328 Km,Bauru (SP),R$ 145.900,145900,62328,2023
6,TOYOTA COROLLA,1.8 vvt-i hybrid flex altis p...,2022/2023,73.137 Km,São Bernardo do Campo (SP),R$ 189.800,189800,73137,2023
6,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2020/2020,96.000 Km,Limeira (SP),R$ 112.900,112900,96000,2020
6,TOYOTA COROLLA,2.0 altis 16v flex 4p automático,2010/2011,214.726 Km,Vargem Grande Paulista (SP),R$ 60.900,60900,214726,2011
6,TOYOTA COROLLA,2.0 xei 16v flex 4p automático,2018/2019,162.700 Km,São Paulo (SP),R$ 96.990,96990,162700,2019
6,TOYOTA COROLLA,2.0 vvt-ie flex altis direct ...,2023/2023,81.769 Km,Campinas (SP),R$ 139.490,139490,81769,2023
6,TOYOTA COROLLA,2.0 vvt-ie flex altis direct shift,2022/2023,62.328 Km,Bauru (SP),R$ 145.900,145900,62328,2023
6,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2021/2022,46.000 Km,São Paulo (SP),R$ 122.490,122490,46000,2022
6,TOYOTA COROLLA,2.0 vvt-ie flex altis direct shift,2023/2023,81.769 Km,Campinas (SP),R$ 139.490,139490,81769,2023
6,TOYOTA COROLLA,1.8 vvt-i hybrid flex altis premium cvt,2019/2020,97.000 Km,São Caetano do Sul (SP),R$ 149.880,149880,97000,2020
6,TOYOTA COROLLA,1.8 vvt-i hybrid flex altis premium cvt,2025/2026,0 Km,São Paulo (SP),R$ 184.900,184900,0,2026
6,TOYOTA COROLLA,1.8 vvt-i hybrid flex altis premium cvt,2022/2023,73.137 Km,São Bernardo do Campo (SP),R$ 189.800,189800,73137,2023
7,TOYOTA COROLLA,1.8 vvt-i hybrid flex altis p...,2025/2026,0 Km,São Paulo (SP),R$ 204.010,204010,0,2026
7,TOYOTA COROLLA,2.0 xei 16v flex 4p automático,2018/2019,85.406 Km,Osasco (SP),R$ 105.900,105900,85406,2019
7,TOYOTA COROLLA,1.8 vvt-i hybrid flex altis p...,2022/2023,50.912 Km,Mauá (SP),R$ 193.900,193900,50912,2023
7,TOYOTA COROLLA,1.8 gli 16v flex 4p automático,2016/2017,150.482 Km,Osasco (SP),R$ 84.900,84900,150482,2017
7,TOYOTA COROLLA,2.0 xei 16v flex 4p automático,2013/2014,104.372 Km,Osasco (SP),R$ 75.900,75900,104372,2014
7,TOYOTA COROLLA,1.8 gli 16v flex 4p automático,2017/2018,79.000 Km,Campinas (SP),R$ 86.990,86990,79000,2018
7,TOYOTA COROLLA,1.8 gli 16v flex 4p automático,2019/2019,99.060 Km,São Paulo (SP),R$ 88.790,88790,99060,2019
7,TOYOTA COROLLA,1.8 gli 16v flex 4p automático,2013/2014,185.000 Km,Sorocaba (SP),R$ 69.890,69890,185000,2014
7,TOYOTA COROLLA,1.8 gli 16v flex 4p automático,2014/2015,96.000 Km,São Paulo (SP),R$ 78.999,78999,96000,2015
7,TOYOTA COROLLA,2.0 xei 16v flex 4p automático,2011/2012,78.000 Km,São Paulo (SP),R$ 77.990,77990,78000,2012
7,TOYOTA COROLLA,1.8 gli 16v flex 4p automático,2017/2018,59.000 Km,São Paulo (SP),R$ 98.000,98000,59000,2018
7,TOYOTA COROLLA,1.8 gli 16v flex 4p automático,2017/2018,128.000 Km,São Paulo (SP),R$ 84.899,84899,128000,2018
7,TOYOTA COROLLA,1.8 vvt-i hybrid flex altis p...,2024/2024,11.605 Km,Limeira (SP),R$ 171.190,171190,11605,2024
7,TOYOTA COROLLA,2.0 xei 16v flex 4p automático,2015/2016,122.000 Km,São Paulo (SP),R$ 84.000,84000,122000,2016
7,TOYOTA COROLLA,2.0 altis 16v flex 4p automático,2015/2016,87.000 Km,São Paulo (SP),R$ 89.899,89899,87000,2016
7,TOYOTA COROLLA,1.8 vvt-i hybrid flex altis cvt,2019/2020,44.000 Km,São Paulo (SP),R$ 130.990,130990,44000,2020
7,TOYOTA COROLLA,2.0 xei 16v flex 4p automático,2016/2017,119.000 Km,Piracicaba (SP),R$ 89.490,89490,119000,2017
7,TOYOTA COROLLA,2.0 altis 16v flex 4p automático,2015/2015,83.000 Km,São Paulo (SP),R$ 97.000,97000,83000,2015
7,TOYOTA COROLLA,1.8 vvt-i hybrid flex altis p...,2025/2025,5.506 Km,São Paulo (SP),R$ 189.800,189800,5506,2025
7,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2021/2022,89.000 Km,Campinas (SP),R$ 124.990,124990,89000,2022
7,TOYOTA COROLLA,1.8 vvt-i hybrid flex altis p...,2025/2025,10.000 Km,São Paulo (SP),R$ 182.800,182800,10000,2025
7,TOYOTA COROLLA,2.0 altis 16v flex 4p automático,2014/2015,40.000 Km,São Paulo (SP),R$ 109.800,109800,40000,2015
7,TOYOTA COROLLA,2.0 vvt-ie flex gli direct shift,2023/2023,44.727 Km,São Paulo (SP),R$ 128.790,128790,44727,2023
7,TOYOTA COROLLA,2.0 vvt-ie flex gli direct shift,2022/2022,47.656 Km,São Paulo (SP),R$ 124.790,124790,47656,2022
7,TOYOTA COROLLA,1.8 vvt-i hybrid flex altis p...,2021/2022,49.900 Km,São Paulo (SP),R$ 183.899,183899,49900,2022
7,TOYOTA COROLLA,1.8 vvt-i hybrid flex altis p...,2021/2022,50.000 Km,São Paulo (SP),R$ 184.999,184999,50000,2022
7,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2022/2023,53.595 Km,São Paulo (SP),R$ 137.490,137490,53595,2023
7,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2022/2023,57.190 Km,São Paulo (SP),R$ 135.590,135590,57190,2023
7,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2019/2020,63.480 Km,São Paulo (SP),R$ 138.900,138900,63480,2020
7,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2022/2023,57.167 Km,São Paulo (SP),R$ 136.090,136090,57167,2023
7,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2023/2023,64.955 Km,São Paulo (SP),R$ 133.290,133290,64955,2023
7,TOYOTA COROLLA,2.0 vvt-ie flex altis direct ...,2024/2024,69.000 Km,Igarapava (SP),R$ 165.900,165900,69000,2024
7,TOYOTA COROLLA,1.8 vvt-i hybrid flex altis premium cvt,2025/2026,0 Km,São Paulo (SP),R$ 204.010,204010,0,2026
7,TOYOTA COROLLA,2.0 vvt-ie flex altis direct shift,2024/2024,69.000 Km,Igarapava (SP),R$ 165.900,165900,69000,2024
7,TOYOTA COROLLA,2.0 vvt-ie flex gli direct shift,2021/2022,40.300 Km,Santo André (SP),R$ 124.900,124900,40300,2022
7,TOYOTA COROLLA,1.8 vvt-i hybrid flex altis premium cvt,2022/2023,50.912 Km,Mauá (SP),R$ 193.900,193900,50912,2023
7,TOYOTA COROLLA,1.8 vvt-i hybrid flex altis premium cvt,2024/2024,11.605 Km,Limeira (SP),R$ 171.190,171190,11605,2024
7,TOYOTA COROLLA,1.8 vvt-i hybrid flex altis premium cvt,2025/2025,5.506 Km,São Paulo (SP),R$ 189.800,189800,5506,2025
7,TOYOTA COROLLA,1.8 vvt-i hybrid flex altis premium cvt,2025/2025,10.000 Km,São Paulo (SP),R$ 182.800,182800,10000,2025
7,TOYOTA COROLLA,1.8 vvt-i hybrid flex altis premium cvt,2021/2022,49.900 Km,São Paulo (SP),R$ 183.899,183899,49900,2022
7,TOYOTA COROLLA,1.8 vvt-i hybrid flex altis premium cvt,2021/2022,50.000 Km,São Paulo (SP),R$ 184.999,184999,50000,2022
7,TOYOTA COROLLA,2.0 xei 16v flex 4p automático,2018/2018,99.000 Km,Cotia (SP),R$ 94.900,94900,99000,2018
7,TOYOTA COROLLA,1.8 vvt-i hybrid flex altis cvt,2020/2021,55.700 Km,São Caetano do Sul (SP),R$ 126.890,126890,55700,2021
7,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2022/2023,49.000 Km,Santa Bárbara D'Oeste (SP),R$ 130.800,130800,49000,2023
7,TOYOTA COROLLA,2.0 xei 16v flex 4p automático,2018/2018,108.788 Km,São Paulo (SP),R$ 94.880,94880,108788,2018
7,TOYOTA COROLLA,1.8 vvt-i hybrid flex altis cvt,2023/2023,72.376 Km,Campinas (SP),R$ 143.890,143890,72376,2023
7,TOYOTA COROLLA,2.0 altis 16v flex 4p automático,2011/2012,215.000 Km,São Paulo (SP),R$ 63.800,63800,215000,2012
7,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2022/2023,66.930 Km,São Paulo (SP),R$ 126.890,126890,66930,2023
7,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2022/2023,64.037 Km,São Paulo (SP),R$ 121.890,121890,64037,2023
7,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2022/2023,75.000 Km,São Paulo (SP),R$ 121.880,121880,75000,2023
7,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2021/2022,115.285 Km,São Paulo (SP),R$ 120.590,120590,115285,2022
7,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2022/2023,57.179 Km,Ribeirão Preto (SP),R$ 126.790,126790,57179,2023
8,TOYOTA COROLLA,2.0 xei 16v flex 4p automático,2012/2013,130.533 Km,Osasco (SP),R$ 70.900,70900,130533,2013
8,TOYOTA COROLLA,1.8 gli 16v flex 4p automático,2017/2018,184.116 Km,Sumaré (SP),R$ 86.900,86900,184116,2018
8,TOYOTA COROLLA,1.8 gli 16v flex 4p automático,2016/2017,100.000 Km,Osasco (SP),R$ 84.900,84900,100000,2017
8,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2021/2022,49.317 Km,Matão (SP),R$ 134.000,134000,49317,2022
8,TOYOTA COROLLA,1.8 vvt-i hybrid flex altis cvt,2021/2022,109.764 Km,Matão (SP),R$ 138.000,138000,109764,2022
8,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2023/2024,30.000 Km,Bauru (SP),R$ 144.000,144000,30000,2024
8,TOYOTA COROLLA,1.8 vvt-i hybrid flex altis p...,2025/2026,800 Km,São Paulo (SP),R$ 289.800,289800,800,2026
8,TOYOTA COROLLA,2.0 xei 16v flex 4p automático,2017/2018,66.000 Km,São Paulo (SP),R$ 107.900,107900,66000,2018
8,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2023/2024,29.000 Km,Jundiaí (SP),R$ 152.900,152900,29000,2024
8,TOYOTA COROLLA,2.0 vvt-ie flex gr-s direct s...,2022/2023,51.000 Km,Barueri (SP),R$ 155.000,155000,51000,2023
8,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2023/2023,69.875 Km,Jundiaí (SP),R$ 134.290,134290,69875,2023
8,TOYOTA COROLLA,1.8 se-g 16v flex 4p automático,2007/2008,128.000 Km,São Paulo (SP),R$ 51.500,51500,128000,2008
8,TOYOTA COROLLA,1.8 gli 16v flex 4p automático,2013/2013,170.000 Km,Mogi Guaçu (SP),R$ 67.990,67990,170000,2013
8,TOYOTA COROLLA,2.0 vvt-ie flex gr-s direct shift,2022/2023,51.000 Km,Barueri (SP),R$ 155.000,155000,51000,2023
8,TOYOTA COROLLA,1.8 vvt-i hybrid flex altis p...,2024/2024,26.557 Km,São Paulo (SP),R$ 174.090,174090,26557,2024
8,TOYOTA COROLLA,2.0 vvt-ie flex altis direct ...,2022/2023,70.439 Km,São Paulo (SP),R$ 145.790,145790,70439,2023
8,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2022/2023,55.648 Km,São Paulo (SP),R$ 136.990,136990,55648,2023
